,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
590,900,The Game: Penetrating the Secret Society of Pickup Artists,1:977,464,4:8725,total:24330,6,9,It Books,1607,2005,en-US,Neil Strauss,3.74,2:2033,5:6621,0060554738,3:5974,,,590
591,902,The Westing Game,1:3417,182,4:51590,total:153989,12,4,Puffin,8918,2004,eng,Ellen Raskin,4.02,2:8458,5:60642,014240120X,3:29882,,,591
592,903,The Egypt Game,1:908,215,4:11041,total:32241,7,7,Turtleback Books,1142,2009,eng,Zilpha Keatley Snyder,3.83,2:2314,5:9877,0808553038,3:8101,,,592
593,905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,1:62,134,4:2915,total:8226,27,5,Random House Trade Paperbacks,601,1997,,W. Timothy Gallwey,4.25,2:245,5:3849,0679778314,3:1155,,,593
601,929,Memoirs of a Geisha,1:26143,503,4:596547,total:1658024,22,11,Vintage Books USA,3901,2005,eng,Arthur Golden,4.11,2:64958,5:682314,1400096898,3:288062,,,601
618,960,"Angels & Demons (Robert Langdon, #1)",1:91925,736,4:875274,total:2559156,1,4,Pocket Books,21462,2006,eng,Dan Brown,3.9,2:167777,5:884154,1416524797,3:540026,,,618
623,965,"Ãngeles y demonios (Robert Langdon, #1)",1:91925,508,4:875274,total:2559156,1,12,Umbriel,20,2005,spa,Dan Brown,3.9,2:167777,5:884154,849561877X,3:540026,,,623
624,966,Angeles & Demonios,1:91925,18,4:875274,total:2559156,1,12,FonoLibro,7,2005,spa,Dan Brown,3.9,2:167777,5:884154,0972859896,3:540026,,,624
626,968,"The Da Vinci Code (Robert Langdon, #2)",1:76836,489,4:638116,total:1843585,28,3,Anchor,36086,2006,eng,Dan Brown,3.84,2:138044,5:605134,0307277674,3:385455,,,626
627,969,The Da Vinci Code,1:76836,467,4:638116,total:1843585,28,3,Broadway Books,105,2006,eng,Dan Brown,3.84,2:138044,5:605134,076792603X,3:385455,,,627
632,975,Deception Point,1:16286,736,4:193208,total:571784,1,4,Pocket Books,411,2006,eng,Dan Brown,3.71,2:49831,5:147938,1416524800,3:164521,,,632
643,998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,1:1046,258,4:24457,total:69771,1,10,Gallery Books,2662,1998,eng,Thomas J. Stanley,4.03,2:3326,5:26530,0671015206,3:14412,,,643
645,1004,Think and Grow Rich,1:4947,345,4:52820,total:191158,19,10,High Roads Media,5,2001,,Napoleon Hill,4.18,2:9101,5:96063,158063205X,3:28227,,,645
646,1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,1:4947,320,4:52820,total:191158,1,9,Tarcherperigee,2336,2005,eng,Napoleon Hill,4.18,2:9101,5:96063,1585424331,3:28227,,,646
676,1052,The Richest Man in Babylon,1:1201,194,4:28570,total:95384,1,2,Berkley Books,3555,2008,eng,George S. Clason,4.26,2:3346,5:48686,0451205367,3:13581,,,676
680,1067,1776,1:4606,386,4:65833,total:176884,4,7,Simon  Schuster,6288,2006,eng,David McCullough,4.07,2:7225,5:70172,0743226720,3:29048,,,680
686,1075,Gap Creek,1:898,352,4:18219,total:49347,28,8,Touchstone Books,19,2001,,Robert Morgan,3.73,2:3395,5:11609,074322535X,3:15226,,,686
687,1078,"The Good Earth (House of Earth, #1)",1:5711,418,4:75920,total:217863,4,3,Howard Publishing Co,7722,2009,eng,Pearl S. Buck,3.98,2:12613,5:81104,1416500189,3:42515,,,687
697,1097,Fast Food Nation: The Dark Side of the All-American Meal,1:8139,399,4:73740,total:195247,5,7,Harper Perennial,4941,2005,eng,Eric Schlosser,3.74,2:12813,5:50200,0060838582,3:50355,,,697
699,1103,Snow Flower and the Secret Fan,1:3857,269,4:131855,total:332046,21,2,Random House,14966,2006,eng,Lisa See,4.07,2:12371,5:122141,0812968069,3:61822,,,699
703,1110,The Broker,1:1104,422,4:29766,total:79605,26,9,Delta,2354,2006,eng,John Grisham,3.78,2:5014,5:19795,0385340540,3:23926,,,703
704,1111,The Power Broker: Robert Moses and the Fall of New York,1:171,1344,4:2549,total:11820,12,7,Vintage,1271,1975,eng,Robert A. Caro,4.51,2:231,5:7945,0394720245,3:924,,,704
709,1120,Body For Life: 12 Weeks to Mental and Physical Strength,1:99,201,4:1260,total:3981,10,6,"HarperCollins Publishers, Inc.",275,1999,en-US,Bill Phillips,3.74,2:327,5:1097,0060193395,3:1198,,,709
740,1171,Liar's Poker,1:1219,256,4:29195,total:76725,1,10,Penguin Books,936,1990,eng,Michael   Lewis,4.15,2:2528,5:31996,0140143459,3:11787,,,740
751,1191,Giada's Family Dinners,1:659,256,4:4322,total:14253,4,4,Clarkson Potter,74,2006,eng,Giada De Laurentiis,3.96,2:784,5:5751,030723827X,3:2737,,,751
752,1192,Everyday Italian: 125 Simple and Delicious Recipes,1:1576,256,4:13040,total:40775,22,2,Clarkson Potter,218,2005,eng,Giada De Laurentiis,3.95,2:2281,5:15553,1400052580,3:8325,,,752
759,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,1:17303,320,4:260171,total:672899,17,10,William Morrow,13171,2006,eng,Steven D. Levitt,3.97,2:31114,5:229909,0061234001,3:134402,,,759
771,1226,Life of Pi,1:44888,401,4:454946,total:1279597,3,5,Mariner Books / Harvest Books,670,2004,en-US,Yann Martel,3.91,2:84685,5:440730,0156030209,3:254348,,,771
779,1241,A Million Little Pieces,1:10522,515,4:72442,total:215388,22,9,Anchor Books,10868,2005,eng,James Frey,3.65,2:20789,5:54418,0307276902,3:57217,,,779
785,1247,Leadership and Self-Deception: Getting Out of the Box,1:442,181,4:7528,total:23329,12,6,Berrett-Koehler Publishers,17,2000,,The Arbinger Institute,4.14,2:1045,5:10454,1576750949,3:3860,,,785
805,1274,"Men Are from Mars, Women Are from Venus",1:9710,368,4:44496,total:155271,3,4,Harper Paperbacks,3362,2012,eng,John Gray,3.55,2:17667,5:39142,0060574216,3:44256,,,805
820,1295,"The Clan of the Cave Bear (Earth's Children, #1)",1:4456,512,4:74576,total:220618,25,6,Bantam,4451,2002,eng,Jean M. Auel,4.05,2:11239,5:88475,0553381679,3:41872,,,820
822,1301,Moneyball: The Art of Winning an Unfair Game,1:1297,317,4:35129,total:94486,17,3,W. W. Norton  Company,4192,2004,eng,Michael   Lewis,4.26,2:2133,5:44397,0393324818,3:11530,,,822
824,1303,The 48 Laws of Power,1:1748,452,4:20069,total:68357,1,9,Penguin (Business),3269,2000,eng,Robert Greene,4.18,2:3120,5:33453,0140280197,3:9967,,,824
826,1305,Gates of Fire,1:192,392,4:7954,total:27215,27,9,Bantam,1644,2005,eng,Steven Pressfield,4.42,2:536,5:15761,055338368X,3:2772,,,826
836,1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,1:2496,168,4:19927,total:66199,1,4,Warner Books,4757,2003,eng,Steven Pressfield,4.0,2:4364,5:27973,0446691437,3:11439,,,836
840,1323,Phaedrus,1:95,116,4:2317,total:6782,1,9,IndyPublish.com,0,2002,,Plato,3.93,2:428,5:2293,140432500X,3:1649,,,840
861,1362,The Histories,1:1169,716,4:12535,total:38374,30,1,Penguin Books,604,2003,eng,Herodotus,3.98,2:2075,5:14672,0140449086,3:7923,,,861
864,1371,The Iliad,1:9268,683,4:110430,total:337811,29,4,Penguin Classics,3488,1999,eng,Homer,3.86,2:24538,5:111822,0140275363,3:81753,,,864
866,1375,The Iliad/The Odyssey,1:1089,1556,4:20437,total:60295,1,11,Penguin Classics,385,1999,eng,Homer,4.04,2:2977,5:23689,0147712556,3:12103,,,866
868,1381,The Odyssey,1:33152,541,4:263660,total:829841,30,11,Penguin Classics,6647,2006,eng,Homer,3.76,2:72411,5:253694,0143039954,3:206924,,,868
892,1419,The Complete Works,1:504,1248,4:12004,total:50761,13,10,Gramercy,6,1991,eng,William Shakespeare,4.5,2:744,5:32903,0517092948,3:4606,,,892
893,1420,Hamlet,1:12724,289,4:233902,total:695817,1,8,Cambridge University Press,7338,2005,eng,William Shakespeare,4.02,2:38097,5:269558,0521618746,3:141536,,,893
898,1425,The Valkyries,1:1324,212,4:5493,total:20868,28,9,HarperOne,87,1996,en-US,Paulo Coelho,3.31,2:3388,5:3557,0062513346,3:7106,,,898
899,1426,Warrior of the Light,1:1472,142,4:8125,total:29153,30,3,HarperOne,958,2004,en-US,Paulo Coelho,3.7,2:3090,5:9123,0060527986,3:7343,,,899
900,1427,The Zahir,1:3090,336,4:20268,total:66445,3,7,HarperOne,2607,2006,eng,Paulo Coelho,3.5700000000000003,2:7647,5:15859,0060832819,3:19581,,,900
901,1428,By the River Piedra I Sat Down and Wept,1:4184,208,4:25050,total:84024,23,5,HarperOne,2730,2006,eng,Paulo Coelho,3.5700000000000003,2:9890,5:20699,0061122092,3:24201,,,901
902,1429,The Fifth Mountain,1:1399,256,4:11593,total:36907,26,4,HarperOne,75,2000,en-US,Paulo Coelho,3.62,2:3917,5:9087,0060930136,3:10911,,,902
903,1431,Veronika Decides to Die,1:6273,210,4:54890,total:163780,1,6,Harper Perennial,5541,2006,eng,Paulo Coelho,3.71,2:15142,5:44150,0061124265,3:43325,,,903
912,1445,The Peloponnesian War,1:735,530,4:8780,total:26802,1,6,"Hackett Publishing Company, Inc.",21,1998,eng,Thucydides,3.88,2:1864,5:9060,0872203948,3:6363,,,912
928,1462,Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,1:117,221,4:5017,total:14058,15,2,University of Chicago Press,57,1955,eng,Euripides,4.03,2:549,5:5151,0226307808,3:3224,,,928
941,1475,Medea,1:825,431,4:18579,total:52670,16,9,Cambridge University Press,9,2002,grc,Euripides,3.87,2:3504,5:16221,0521643864,3:13541,,,941
977,1519,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",1:391,335,4:12137,total:34744,7,2,Penguin Classics,593,1984,eng,Aeschylus,4.02,2:1702,5:12907,0140443339,3:7607,,,977
978,1521,Oresteia,1:391,224,4:12137,total:34744,15,9,"Hackett Publishing Company, Inc.",21,1998,eng,Aeschylus,4.02,2:1702,5:12907,0872203905,3:7607,,,978
988,1535,"Sophocles I: Oedipus The King, Oedipus at Colonus, Antigone (The Complete Greek Tragedies, #8)",1:798,218,4:19984,total:56875,15,8,University of Chicago Press,40,1991,,Sophocles,3.98,2:3010,5:20042,0226307921,3:13041,,,988
991,1538,The Complete Plays,1:31,420,4:1280,total:4023,1,3,New American Library,41,2001,eng,Sophocles,4.27,2:98,5:1997,0451527844,3:617,,,991
993,1540,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",1:798,259,4:19984,total:56875,1,11,Mariner Books,729,2002,eng,Sophocles,3.98,2:3010,5:20042,015602764X,3:13041,,,993
995,1542,"The Three Theban Plays: Antigone, Oedipus the King, Oedipus at Colonus",1:798,430,4:19984,total:56875,3,1,Penguin Books,291,2000,eng,Sophocles,3.98,2:3010,5:20042,0140444254,3:13041,,,995
1008,1559,Oedipus the King,1:3619,144,4:56035,total:164273,1,7,Simon  Schuster,58,2005,eng,Sophocles,3.7,2:14365,5:40432,1416500332,3:49822,,,1008
1009,1560,Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,1:56,624,4:2145,total:6129,1,11,Plume,81,1984,eng,Aristophanes,4.06,2:263,5:2376,0452007178,3:1289,,,1009
1017,1570,Lysistrata,1:739,96,4:11972,total:34289,1,1,Focus,8,1988,,Aristophanes,3.85,2:2299,5:10557,0941051021,3:8722,,,1017
1052,1618,The Curious Incident of the Dog in the Night-Time,1:25833,226,4:438699,total:1137424,18,5,Vintage,35881,2004,eng,Mark Haddon,3.88,2:69144,5:340884,1400032717,3:262864,,,1052
1053,1620,The Night Gardener,1:102,372,4:2171,total:4970,8,8,Little Brown and Company,361,2006,eng,George Pelecanos,3.64,2:356,5:780,0316156507,3:1561,,,1053
1055,1624,West with the Night,1:337,294,4:9855,total:28364,1,1,,2504,1983,eng,Beryl Markham,4.19,2:919,5:12718,0865471185,3:4535,,,1055
1056,1625,Twelfth Night,1:1753,272,4:55985,total:151681,1,7,Simon Schuster,2548,2004,eng,William Shakespeare,3.98,2:7316,5:51876,0743482778,3:34751,,,1056
1058,1627,Brokeback Mountain,1:503,55,4:10896,total:28619,2,12,Scribner,1781,2005,eng,Annie Proulx,3.94,2:1568,5:9334,0743271327,3:6318,,,1058
1059,1633,Getting Things Done: The Art of Stress-Free Productivity,1:3518,267,4:40319,total:118648,31,12,Penguin Books,3903,2002,en-GB,David    Allen,3.99,2:6541,5:45348,0142000280,3:22922,,,1059
1069,1646,RespiraciÃ³n artificial,1:31,218,4:590,total:1649,1,3,Anagrama,80,2008,spa,Ricardo Piglia,3.97,2:111,5:589,8433924710,3:328,,,1069
1071,1654,Plata quemada,1:27,227,4:595,total:1467,1,7,Anagrama,68,2005,spa,Ricardo Piglia,3.75,2:94,5:329,8433924621,3:422,,,1071
1078,1667,El tÃºnel,1:572,159,4:15618,total:41503,1,7,Seix Barral,61,2003,spa,Ernesto Sabato,4.05,2:1979,5:15474,8432216429,3:7860,,,1078
1091,1694,The Confessions of Saint Augustine,1:1484,13,4:13449,total:43336,1,5,Hovel Audio,3,2006,,Augustine of Hippo,3.92,2:3049,5:16312,1596443588,3:9042,,,1091
1101,1705,Confessions,1:1484,353,4:13449,total:43336,31,1,Penguin Classics,14,2006,eng,Augustine of Hippo,3.92,2:3049,5:16312,,3:9042,,,1101
1104,1709,Kitchen Confidential: Adventures in the Culinary Underbelly,1:2292,302,4:86726,total:210411,1,5,Ecco Press,266,2001,eng,Anthony Bourdain,4.08,2:6925,5:75685,0060934913,3:38783,,,1104
1107,1715,Metamorphoses,1:805,723,4:19545,total:56269,3,8,Penguin,780,2004,eng,Ovid,4.05,2:2496,5:21953,014044789X,3:11470,,,1107
1140,1752,Antigone,1:2324,197,4:33384,total:100205,1,9,Oxford University Press,5,2007,eng,Sophocles,3.65,2:9781,5:22965,0195143108,3:31751,,,1140
1185,1814,2012: The Return of Quetzalcoatl,1:109,408,4:508,total:1695,4,5,Tarcher,218,2006,en-US,Daniel Pinchbeck,3.42,2:240,5:333,1585424838,3:505,,,1185
1186,1815,Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,1:42,336,4:1131,total:3037,12,8,Three Rivers Press (CA),167,2003,en-US,Daniel Pinchbeck,4.06,2:146,5:1159,0767907434,3:559,,,1186
1190,1823,Them: Adventures with Extremists,1:93,336,4:7108,total:15670,7,1,Simon  Schuster,837,2003,eng,Jon Ronson,3.95,2:559,5:4289,0743233212,3:3621,,,1190
1191,1824,The Men Who Stare at Goats,1:303,259,4:5638,total:14446,10,4,Simon  Schuster,909,2006,eng,Jon Ronson,3.61,2:1264,5:2535,0743270606,3:4706,,,1191
1202,1839,"Guns, Germs and Steel: The Fates of Human Societies",1:7415,518,4:97006,total:273001,11,7,W.W. Norton,406,2005,eng,Jared Diamond,4.03,2:13612,5:106524,0393061310,3:48444,,,1202
1204,1843,Caught Inside: A Surfer's Year on the California Coast,1:11,256,4:248,total:658,10,4,North Point Press,61,1997,eng,Daniel Duane,3.87,2:49,5:198,0865475091,3:152,,,1204
1205,1845,Into the Wild,1:23204,207,4:308997,total:839530,20,1,Anchor Books,18404,1997,eng,Jon Krakauer,3.98,2:42497,5:301990,0385486804,3:162842,,,1205
1206,1846,Wild at Heart: Discovering the Secret of a Man's Soul,1:3306,256,4:19510,total:65625,1,4,Thomas Nelson,1508,2001,eng,John Eldredge,3.92,2:4608,5:26033,0785268839,3:12168,,,1206
1207,1848,Wild Swans: Three Daughters of China,1:1209,562,4:29226,total:85588,12,8,Simon  Schuster,4335,2003,eng,Jung Chang,4.26,2:2362,5:41624,,3:11167,,,1207
1208,1849,"Wild Fire (John Corey, #4)",1:224,519,4:10048,total:23572,6,11,Warner Books (NY),957,2006,eng,Nelson DeMille,4.01,2:807,5:7519,044657967X,3:4974,,,1208
1211,1852,The Call of the Wild,1:7743,172,4:116788,total:320987,1,1,Scholastic,7552,2001,eng,Jack London,3.87,2:20115,5:98914,0439227143,3:77427,,,1211
1220,1869,Nickel and Dimed: On (Not) Getting by in America,1:11144,240,4:60070,total:174509,1,5,Owl Books (Henry Holt),5796,2002,eng,Barbara Ehrenreich,3.63,2:15563,5:43751,0805063897,3:43981,,,1220
1226,1883,"The History of Sexuality, Volume 2: The Use of Pleasure",1:31,304,4:1287,total:3301,30,7,Penguin,2,1998,eng,Michel Foucault,4.08,2:126,5:1225,0140137343,3:632,,,1226
1228,1885,Pride and Prejudice,1:72300,279,4:771789,total:2821508,10,10,Modern Library,42165,2000,eng,Jane Austen,4.26,2:108247,5:1514553,,3:354619,,,1228
1229,1887,The Making of Pride and Prejudice,1:57,128,4:1130,total:4387,7,9,Penguin Books Ltd,100,1995,eng,Sue Birtwistle,4.45,2:67,5:2701,014025157X,3:432,,,1229
1230,1889,Pride & Prejudice,1:72300,392,4:771789,total:2821508,1,9,Penguin Books,214,2005,eng,Jane Austen,4.26,2:108247,5:1514553,0143036238,3:354619,,,1230
1233,1894,Under the Banner of Heaven: A Story of Violent Faith,1:2442,399,4:62415,total:149715,10,7,Anchor Books,1030,2003,eng,Jon Krakauer,4.0,2:6232,5:49138,1400032806,3:29488,,,1233
1236,1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,1:8528,368,4:136873,total:374530,19,10,Anchor Books,11826,1999,eng,Jon Krakauer,4.17,2:11347,5:165309,0385494785,3:52473,,,1236
1243,1911,The World Is Flat: A Brief History of the Twenty-first Century,1:3775,616,4:34123,total:94506,18,4,"Farrar, Straus and Giroux (NY)",2807,2006,eng,Thomas L. Friedman,3.68,2:8304,5:23187,0374292795,3:25117,,,1243
1259,1934,Little Women,1:36577,449,4:514495,total:1595807,6,4,Signet Classics,19521,2004,eng,Louisa May Alcott,4.08,2:79377,5:676930,0451529308,3:288428,,,1259
1260,1935,"Little Women (Little Women, #1)",1:36577,536,4:514495,total:1595807,1,10,Sterling,132,2004,eng,Louisa May Alcott,4.08,2:79377,5:676930,1402714580,3:288428,,,1260
1269,1955,A Tale of Two Cities,1:32083,496,4:250184,total:781949,1,5,Simon  Schuster,28,2004,eng,Charles Dickens,3.84,2:61423,5:266325,0743487605,3:171934,,,1269
1278,1983,Hard Times,1:1913,368,4:17335,total:51756,16,1,Barnes  Noble Classics,7,2004,,Charles Dickens,3.52,2:5623,5:9555,1593081073,3:17330,,,1278
1279,1984,Bleak House,1:2358,887,4:30174,total:91681,9,7,Modern Library,146,2002,eng,Charles Dickens,4.01,2:5352,5:36377,0375760059,3:17420,,,1279
1280,1985,David Copperfield,1:3871,928,4:66501,total:192313,7,2,Signet,17,2006,eng,Charles Dickens,3.99,2:10569,5:70881,0451530047,3:40491,,,1280
1281,1986,Oliver Twist,1:5853,512,4:115186,total:304540,5,4,Signet,31,2005,,Charles Dickens,3.87,2:18022,5:88994,0451529715,3:76485,,,1281
1282,1987,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whistâthe Facts of Daily Life in 19th-Century England,1:48,416,4:2057,total:5139,21,4,Touchstone,505,1994,en-US,Daniel Pool,3.85,2:231,5:1315,0671882368,3:1488,,,1282
1284,1989,Great Expectations,1:27548,3,4:208488,total:622146,16,6,Penguin Audio,25,2005,,Charles Dickens,3.77,2:52551,5:189834,0143058169,3:143725,,,1284
1288,1993,The Third Chimpanzee: The Evolution & Future of the Human Animal,1:340,407,4:8046,total:20806,1,1,HarperCollins Publishers,1,1992,eng,Jared Diamond,4.06,2:800,5:7742,0060183071,3:3878,,,1288
1323,2049,"The High Window (Philip Marlowe, #3)",1:51,265,4:6989,total:15461,12,8,Vintage Crime/Black Lizard,575,1992,eng,Raymond Chandler,4.07,2:314,5:5020,0394758269,3:3087,,,1323
1324,2051,The Simple Art of Murder,1:22,384,4:2114,total:5297,12,9,Vintage Crime/Black Lizard,163,1988,eng,Raymond Chandler,4.15,2:123,5:2084,0394757653,3:954,,,1324
1325,2052,"The Big Sleep (Philip Marlowe, #1)",1:2243,231,4:43669,total:115329,12,7,Vintage Crime,4153,1988,eng,Raymond Chandler,4.01,2:5611,5:41191,0394758285,3:22615,,,1325
1327,2054,"The Long Goodbye (Philip Marlowe, #6)",1:159,379,4:12020,total:30750,12,8,Vintage Crime/Black Lizard,1646,1988,eng,Raymond Chandler,4.22,2:702,5:13206,0394757688,3:4663,,,1327
1334,2067,Breaking the Spell: Religion as a Natural Phenomenon,1:381,448,4:4121,total:11391,24,2,Viking Books,334,2006,eng,Daniel C. Dennett,3.89,2:732,5:3754,067003472X,3:2403,,,1334
1335,2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,1:359,588,4:4518,total:14064,12,6,Simon  Schuster,241,1996,eng,Daniel C. Dennett,4.04,2:752,5:5808,068482471X,3:2627,,,1335
1345,2081,The Mindâs I: Fantasies and Reflections on Self and Soul,1:67,512,4:1952,total:5364,1,4,Bantam Books,92,1985,eng,Douglas R. Hofstadter,4.14,2:185,5:2252,0553345842,3:908,,,1345
1351,2094,A Briefer History of Time,1:287,176,4:11070,total:29300,27,9,Bantam,836,2005,eng,Stephen Hawking,4.22,2:680,5:12953,0553804367,3:4310,,,1351
1352,2095,The Universe in a Nutshell,1:285,216,4:12612,total:33036,6,11,Bantam,658,2001,eng,Stephen Hawking,4.15,2:1001,5:13555,055380202X,3:5583,,,1352
1368,2111,The Theory of Everything: The Origin and Fate of the Universe,1:149,136,4:5733,total:14192,1,5,Phoenix Books,7,2006,,Stephen Hawking,4.16,2:346,5:5677,1597775088,3:2287,,,1368
1386,2136,Specimen Days,1:163,336,4:1875,total:5431,18,4,Picador USA,448,2006,eng,Michael Cunningham,3.58,2:634,5:1120,0312425023,3:1639,,,1386
1387,2137,A Home at the End of the World,1:286,342,4:6540,total:17400,1,7,Picador,665,2004,eng,Michael Cunningham,3.91,2:1007,5:5461,0312424086,3:4106,,,1387
1389,2140,Blink: The Power of Thinking Without Thinking,1:9109,277,4:176841,total:462078,11,1,"Little, Brown and Company",356,2005,en-US,Malcolm Gladwell,3.93,2:24504,5:147922,0316172324,3:103702,,,1389
1396,2151,The Complete Novels,1:456,1103,4:5766,total:28610,3,9,Gramercy Books,31,1995,eng,Jane Austen,4.5600000000000005,2:499,5:20070,0517147688,3:1819,,,1396
1397,2152,The Jane Austen Book Club,1:4553,288,4:14426,total:62683,26,4,G.P. Putnam's Sons,3561,2005,eng,Karen Joy Fowler,3.08,2:12987,5:6452,0452286530,3:24265,,,1397
1401,2156,Persuasion,1:9246,249,4:163136,total:498446,18,3,Oxford University Press,11516,2004,eng,Jane Austen,4.14,2:19375,5:221015,0192802631,3:85674,,,1401
1406,2166,The Old Man and the Sea,1:35992,3,4:254061,total:779615,1,5,Simon  Schuster Audio,79,2006,eng,Ernest Hemingway,3.77,2:66867,5:243416,0743564367,3:179279,,,1406
1411,2176,Flaubert's Parrot,1:357,190,4:4384,total:11960,27,11,Vintage,615,1990,eng,Julian Barnes,3.66,2:1106,5:2662,0679731369,3:3451,,,1411
1417,2183,Sentimental Education,1:490,460,4:5730,total:16973,5,2,Penguin Classics,395,2004,eng,Gustave Flaubert,3.83,2:1346,5:5365,0140447970,3:4042,,,1417
1420,2187,Middlesex,1:20373,529,4:191208,total:568825,16,9,Picador USA,19666,2003,eng,Jeffrey Eugenides,4.0,2:32704,5:226695,0312422156,3:97845,,,1420
1430,2199,Team of Rivals: The Political Genius of Abraham Lincoln,1:4870,916,4:39611,total:142910,26,9,Simon & Schuster,6166,2006,eng,Doris Kearns Goodwin,4.29,2:4585,5:79207,0743270754,3:14637,,,1430
1431,2203,John Adams,1:16032,751,4:89031,total:293110,22,5,Simon & Schuster Paperbacks,5370,2001,eng,David McCullough,4.06,2:14418,5:133756,0743223136,3:39873,,,1431
1466,2255,Way of the Peaceful Warrior: A Book That Changes Lives,1:932,240,4:13551,total:44133,13,4,HJ Kramer,1636,2006,en-US,Dan Millman,4.14,2:2139,5:20329,1932073205,3:7182,,,1466
